#xind    lon    lat 
 228 24.2802 63.1752 
 229 19.392 61.3469 
 230 15.0105 59.3189 
 231 11.2001 57.198 
 232 7.81164 54.962 
 233 4.80372 52.6469 
 234 2.10234 50.0203 
 235      0 47.453 
 236 -1.90491 44.8395 
 237 -3.62905 42.2033 
 238 -5.23994 39.4968 
 239 -6.69165 36.8118 
 240 -8.04363 34.0992 
 241 -9.29899 31.3795 
 242 -10.6099 28.6377 
 243 -12.2311 25.9342 
 244 -13.7779 23.1996 
 245 -15.2502 20.458 
 246 -16.6908 17.6481 
 247 -18.0542 14.8784 
 248 -19.3815 12.0872 
 249 -20.6696 9.29754 
 250 -22.1881 6.73914 
 251     36 63.5688 
 252 30.3645 62.169 
 253 25.2622 60.5615 
 254 20.6441 58.7301 
 255 16.5053 56.7504 
 256 12.8666 54.663 
 257 9.59152 52.4773 
 258 6.64106 49.9643 
 259 3.98718 47.3839 
 260 1.90491 44.8395 
 261      0 42.2605 
 262 -1.7535 39.6072 
 263 -3.37692 36.9295 
 264 -4.83742 34.2564 
 265 -6.20764 31.567 
 266 -7.6024 28.8579 
 267 -8.92611 26.1352 
 268 -10.5437 23.4367 
 269 -12.0964 20.7222 
 270 -13.5894 17.939 
 271 -15.036 15.1448 
 272 -16.3972 12.3716 
 273 -17.7297 9.59181 
 274 -19.2657 7.04588 
 275 -20.7849 4.49498 
 276     36 60.9256 
 277 30.8124 59.5321 
 278 26.0676 57.8943 
 279 21.735 56.0929 
 280 17.8081 54.1663 
 281 14.322 52.1164 
 282 11.1704 49.7229 
 283 8.30072 47.2469 
 284 5.69147 44.7195 
 285 3.62905 42.2033 
 286 1.7535 39.6072 
 287      0 36.9774 
 288 -1.63597 34.3351 
 289 -3.10634 31.6798 
 290 -4.5711 29.0059 
 291 -5.97378 26.3109 
 292 -7.31328 23.6141 
 293 -8.93271 20.9287 
 294 -10.4646 18.1737 
 295 -11.9615 15.3995 
 296 -13.42 12.6297 
 297 -14.7849 9.86126 
 298 -16.3287 7.32798 
 299 -17.8646 4.78361 
 300 -19.3903 2.24815 
 301     36 58.2825 
 302 31.1922 56.8378 
 303 26.7616 55.2226 
 304 22.6917 53.4597 
 305 18.9573 51.5698 
 306 15.6186 49.3034 
 307 12.5791 46.9493 
 308 9.79945 44.5217 
 309  7.245 42.032 
 310 5.23994 39.4968 
 311 3.37692 36.9295 
 312 1.63597 34.3351 
 313      0 31.7175 
 314 -1.54575 29.0801 
 315 -3.01404 26.426 
 316 -4.41604 23.7575 
 317 -5.76155 21.0769 
 318 -7.34547 18.3507 
 319 -8.88002 15.6118 
 320 -10.374 12.8626 
 321 -11.8356 10.1051 
 322 -13.3978 7.58525 
 323 -14.9419 5.05985 
 324 -16.4739 2.53083 
 325    -18      0 
 326     36 55.6394 
 327 31.5051 54.1979 
 328 27.3221 52.589 
 329 23.4648 50.8454 
 330 20.0648 48.6919 
 331 16.8602 46.4552 
 332 13.9097 44.122 
 333 11.2047 41.7236 
 334 8.67198 39.3253 
 335 6.69165 36.8118 
 336 4.83742 34.2564 
 337 3.10634 31.6798 
 338 1.54575 29.0801 
 339      0 26.4576 
 340 -1.47653 23.8075 
 341 -2.88173  21.15 
 342 -4.26207 18.526 
 343 -5.84605 15.8089 
 344 -7.38702 13.0669 
 345 -8.88197 10.3228 
 346 -10.4118 7.81499 
 347 -11.9738 5.29706 
 348 -13.5222 2.76247 
 349 -15.054 0.23201 
 350 -16.6097 -2.24815 
 351     36 52.9963 
 352 31.7728 51.5457 
 353 27.819 49.953 
 354   24.3 47.9284 
 355 21.0523 45.8045 
 356 17.9739 43.5809 
 357 15.1185 41.2807 
 358 12.4707 38.9696 
 359 9.99226 36.6025 
 360 8.04363 34.0992 
 361 6.20764 31.567 
 362 4.5711 29.0059 
 363 3.01404 26.426 
 364 1.47653 23.8075 
 365      0 21.1744 
 366 -1.42485 18.5743 
 367 -2.80679 15.9637 
 368 -4.38313 13.2433 
 369 -5.92455 10.5135 
 370 -7.47352 8.01968 
 371 -9.00359 5.52013 
 372 -10.5594 2.99286 
 373 -12.108 0.463407 
 374 -13.6592 -2.01653 
 375 -15.2151 -4.49498 
 376     36 50.3532 
 377 32.0012 48.9039 
 378 28.4135 47.0029 
 379 25.0594 44.9952 
 380 21.9423 42.9094 
 381 18.9718 40.7073 
 382 16.2386 38.4824 
 383 13.6551 36.1935 
 384 11.2222 33.8661 
 385 9.29899 31.3795 
 386 7.6024 28.8579 
 387 5.97378 26.3109 
 388 4.41604 23.7575 
 389 2.88173  21.15 
 390 1.42485 18.5743 
 391      0 15.9819 
 392 -1.38837 13.3919 
 393 -2.96373 10.6769 
 394 -4.52177  8.197 
 395 -6.07033 5.70534 
 396 -7.60625 3.22197 
 397 -9.16174 0.693579 
 398 -10.699 -1.7861 
 399 -12.25 -4.27044 
 400 -13.8119 -6.73914 
 401     36  47.71 
 402 32.3565 45.9342 
 403 28.9457  44.05 
 404 25.7504 42.0706 
 405 22.7522 40.008 
 406 19.9329 37.8728 
 407 17.2748 35.6742 
 408 14.7609 33.4203 
 409 12.3756 31.1183 
 410 10.6099 28.6377 
 411 8.92611 26.1352 
 412 7.31328 23.6141 
 413 5.76155 21.0769 
 414 4.26207 18.526 
 415 2.80679 15.9637 
 416 1.38837 13.3919 
 417      0 10.8123 
 418 -1.57755 8.34709 
 419 -3.13526 5.8757 
 420 -4.6792 3.40003 
 421 -6.21521 0.921917 
 422 -7.74909 -1.55686 
 423 -9.28658 -4.03452 
 424 -10.8335 -6.50926 
 425 -12.3957 -8.97926 
 426     36 45.0669 
 427  32.52 43.2911 
 428 29.2389 41.4053 
 429 26.1609 39.4329 
 430 23.2201 37.349 
 431 20.4847 35.2231 
 432 17.8888 33.0281 
 433 15.433 30.7843 
 434 13.9897 28.3974 
 435 12.2311 25.9342 
 436 10.5437 23.4367 
 437 8.93271 20.9287 
 438 7.34547 18.3507 
 439 5.84605 15.8089 
 440 4.38313 13.2433 
 441 2.96373 10.6769 
 442 1.57755 8.34709 
 443      0 5.88444 
 444 -1.56361 3.4028 
 445 -3.10761 0.926003 
 446 -4.67327 -1.60967 
 447 -6.20724 -4.09319 
 448 -7.75107 -6.58819 
 449 -9.29837 -9.07123 
 450 -10.9619 -11.2139 
 451     36 42.4238 
 452 32.6655 40.6373 
 453 29.5091 38.7599 
 454 26.5048 36.7599 
 455 23.6559 34.6882 
 456 20.9992 32.5604 
 457 18.467 30.3792 
 458 16.9625 28.0267 
 459 15.5227 25.6585 
 460 13.7779 23.1996 
 461 12.0964 20.7222 
 462 10.4646 18.1737 
 463 8.88002 15.6118 
 464 7.38702 13.0669 
 465 5.92455 10.5135 
 466 4.52177  8.197 
 467 3.13526 5.8757 
 468 1.56361 3.4028 
 469      0 0.927367 
 470 -1.56181 -1.60696 
 471 -3.1275 -4.14009 
 472 -4.65579 -6.64097 
 473 -6.19968 -9.13712 
 474 -7.84029 -11.2939 
 475 -9.50571 -13.4416 
 476     36 39.7807 
 477 32.7904 37.9933 
 478 29.7458 36.072 
 479 26.8357 34.0762 
 480 24.0646 32.026 
 481 21.4738 29.9046 
 482 19.924 27.587 
 483 18.426 25.2476 
 484 16.9866 22.9043 
 485 15.2502 20.458 
 486 13.5894 17.939 
 487 11.9615 15.3995 
 488 10.374 12.8626 
 489 8.88197 10.3228 
 490 7.47352 8.01968 
 491 6.07033 5.70534 
